Car_Make|Средняя стоимость
Acura|157.375
Alfa Romeo|77.6
Ariel|75.0
Aston Martin|215.061224489796
Audi|94.8840579710145
BMW|89.64
Bentley|215.24
Bugatti|3.04347826086957
Chevrolet|63.5263157894737
Dodge|72.7435897435897
Ferrari|409.890909090909
Ford|476.722222222222
Jaguar|103.285714285714
Koenigsegg|2.53333333333333
Lamborghini|371.030303030303
Lotus|84.1714285714286
Maserati|205.0
McLaren|206.333333333333
Mercedes-AMG|169.090909090909
Mercedes-Benz|173.734693877551
Nissan|212.0
Pagani|2.16666666666667
Pininfarina|2.0
Porsche|156.645161290323
Rimac|2.0
TVR|140.0
Tesla|160.222222222222
Toyota|43.0
Ultima|220.0
W Motors|1.66666666666667
